"",".id","logLik","n","k","AICc","BIC"
"1","BM",415.79643793787,480,9,-813.209897152336,-776.028800940623
"2","OU",413.978228874713,480,18,-790.472726729903,-716.828307879191
"3","BMkappaP",92.3921660277683,480,4,-176.700121529221,-160.089187639929
"4","OUkappaP",275.161555941456,480,13,-523.541996003084,-470.063892532187
"5","BMkappaG",74.4128830698983,480,4,-140.741555613481,-124.130621724189
"6","OUkappaG",258.021416599137,480,13,-489.261717318445,-435.783613847548
"7","fitMixed 1",413.610862741156,480,10,-806.752642326661,-765.483864443292
"8","fitMixed 2",414.975973133122,480,10,-809.482863110594,-768.214085227225
"9","fitMixed 3",420.250873462421,480,19,-800.849573011798,-723.199810950705
"10","fitMixed 4",415.850300043289,480,10,-811.231516930928,-769.962739047559
"11","fitMixed 5",434.426276073304,480,18,-831.368821127085,-757.724402276373
"12","fitMixed 6",338186.729609956,480,60,-676235.989052848,-676003.032053679
"13","fitMixed 7",469.340297501915,480,26,-883.581257255485,-778.162156302379
"14","fitMixed 8",471.421297020591,480,26,-887.743256292838,-782.324155339732
"15","fitMixed 9",415.169280442843,480,10,-809.869477730037,-768.600699846668
"16","fitMixed 10",448.714626168654,480,27,-840.084119593945,-730.737027531955
