"",".id","logLik","n","k","BIC"
"1","BM",589.162438112135,480,5,-1147.45594570476
"2","OU",604.435746024183,480,10,-1147.13363100935
"3","BMkappaP",538.313069050594,480,3,-1058.10477978948
"4","OUkappaP",584.683480623199,480,8,-1119.97667241518
"5","BMkappaG",575.632698358668,480,3,-1132.74403840563
"6","OUkappaG",598.960067530472,480,8,-1148.52984622973
"7","MixedBMBMBM",533.845303917317,480,11,-999.778960691712
"8","MixedOUBMOU",556.546844812812,480,16,-1014.31311196319
"9","MixedOUOUOU",597.346932098797,480,26,-1034.17542549614
"10","fitMixed_BIC 1",604.555538460914,480,10,-1147.37321588281
"11","fitMixed_BIC 2",618.598770410612,480,15,-1144.59074926269
"12","fitMixed_BIC 3",618.564709485207,480,15,-1144.52262741188
"13","fitMixed_BIC 4",617.779457099891,480,15,-1142.95212264125
"14","fitMixed_BIC 5",604.553920074882,480,10,-1147.36997911074
"15","fitMixed_BIC 6",617.798818068604,480,15,-1142.99084457868
"16","fitMixed_BIC 7",604.555103642832,480,10,-1147.37234624665
"17","fitMixed_BIC 8",589.162521823814,480,6,-1141.28232702422
"18","fitMixed_BIC 9",604.548173145658,480,10,-1147.3584852523
"19","fitMixed_BIC 10",617.801511889715,480,15,-1142.9962322209
